,category,event_name,gender,age,marital_status,session_id,device,client_time,latitude,longitude,state
0,Sports,View Project,M,18-24,married,69f62d2ae87640f5a2dde2b2e9229fe6,android,1393632004,40.189788,-105.35528,CO
1,Environment,View Project,M,55+,single,0db9ed700a184d48a9d04806696e3642,iOS,1393632032,42.446396,-71.459405,MA
2,Sports,View Project,F,25-34,married,9508a8385dc94773baba8aa7d1c2aa75,iOS,1393632051,36.747083,-93.458626,MO
3,Sports,View Project,F,18-24,married,a1fdfe0bebed4510a9059bcfb3ba1325,iOS,1393632171,33.794055,-84.377326,GA
4,Environment,View Project,F,18-24,married,ba5a2f05fac84d5a8e4e7132fe1a47b9,iOS,1393632222,39.863369,-105.172429,CO
5,Sports,View Project,U,18-24,married,be389e9be0e74398adcef3292ac409ee,android,1393632233,45.408374,-122.691388,OR
6,Environment,View Project,F,18-24,single,f86a7295a55e4d2f8d2af254cc890579,android,1393632244,33.834989,-84.386826,GA
7,Sports,View Project,M,35-44,married,0d3a9a26b122463f85f829f61d3cf3c1,iOS,1393632273,40.867036,-86.07524,IN
8,Environment,View Project,M,18-24,married,e9db51d3846248d88c7ee975adde2000,iOS,1393632318,40.062204,-104.923481,CO
9,Sports,View Project,M,18-24,married,bb6fd341a5a444688c23a0964d4a76f1,iOS,1393632335,45.45509,-122.696724,OR
10,Environment,View Project,U,55+,married,e962699a28754de1b988e935715307ea,iOS,1393632361,40.842697,-85.489225,IN
11,Environment,View Project,U,18-24,single,5ed0f4f6d87940bdae1909b285c567af,iOS,1393632506,34.256003,-90.634809,MS
12,Sports,View Project,F,18-24,single,c25731a74f434c8aaa3f97c3658458e3,android,1393632564,33.794055,-84.377326,GA
13,Sports,View Project,M,18-24,married,bb668c0e306f4a6b84c4665916de80be,iOS,1393632583,33.794055,-84.377326,GA
14,Sports,View Project,F,18-24,single,231d87f7cad54de69e0983663e896044,android,1393632623,43.402135,-72.583854,VT
15,Sports,View Project,F,35-44,married,69a8bf706d5448b49d26fc8925f68d4d,iOS,1393632682,40.578034,-85.878104,IN
16,Environment,View Project,M,18-24,married,e592eb55ad5d4cca84c59a7c78fef3ce,android,1393632721,45.408077,-122.723058,OR
17,Sports,View Project,F,25-34,single,d0bc73d6756e4b4bad7568f5e5b0cdcf,iOS,1393632753,40.609553,-74.280641,NJ
18,Sports,View Project,M,45-54,single,d23a964e8656403b853eb2a24139c408,android,1393632783,39.102704,-94.595033,MO
19,Sports,View Project,F,18-24,single,71ca342ead4f4da180da4f9b4baaf760,android,1393632973,33.844371,-84.47405,GA
20,Sports,View Project,M,18-24,married,4bbc752b1c4f4ed48fe95bc214c9917c,android,1393633147,45.408077,-122.723058,OR
21,Sports,View Project,F,18-24,married,d3793d2376f24bf4a97d684aa0233bf0,iOS,1393633157,45.408077,-122.723058,OR
22,Sports,View Project,F,18-24,married,f4f0cf5256dd447c83ccf7ec746c500b,iOS,1393633185,40.61466,-86.106432,IN
23,Environment,View Project,M,18-24,married,928666b5e040451a83dd2646e27fc02e,iOS,1393633276,40.129416,-104.970816,CO
24,Environment,View Project,F,18-24,single,c6664bbd7d4346e38a7fb82ea251506c,iOS,1393633307,33.829743,-84.381529,GA
25,Sports,View Project,F,45-54,single,0c0aadfe4f0d482da515eb32e5659d6d,android,1393633344,33.900103,-116.400701,CA
26,Sports,View Project,M,18-24,single,fa8d2cba47cc4ca18ddb049bd0552a6e,iOS,1393633374,33.752456,-84.392026,GA
27,Sports,View Project,F,18-24,married,d51bf0a7e97a494ea9d6cce97d3afc9a,android,1393633381,33.834989,-84.386826,GA
28,Environment,View Project,F,18-24,married,f6b6a562d4634a5d80fc743642df5ab0,android,1393633432,32.615983,-117.034012,CA
29,Sports,View Project,F,18-24,married,a9d73a433a2948af828fdfa975beaf03,iOS,1393633440,33.760505,-84.399626,GA
30,Environment,View Project,F,55+,single,77b17226b37249059339b59b648ad98f,iOS,1393633447,41.552615,-88.031268,IL
31,Environment,View Project,F,55+,single,db8d96fcb72e4bbb9d9c9c0160c6d454,iOS,1393633479,37.127348,-81.15842,VA
32,Sports,View Project,M,45-54,single,ccf9ab205b214fb087da260c2aaf7f7e,android,1393633501,25.996668,-80.257444,FL
33,Sports,View Project,F,18-24,single,500071c7e3274e8bbeb6eba5fee81e14,iOS,1393633546,33.752456,-84.392026,GA
34,Environment,View Project,F,35-44,single,ec273ea8090e43c88b387685c0cdc3a3,iOS,1393633548,40.548117,-80.236882,PA
35,Environment,View Project,F,45-54,married,be8f27a4221b49eab5c32d27bbdebfa4,iOS,1393633580,39.218578,-85.717648,IN
36,Sports,View Project,F,25-34,single,e0905014b6b24d20aee1759ed54f54b2,iOS,1393633620,40.129416,-104.970816,CO
37,Environment,View Project,F,25-34,married,1d39b88f089d4df7be67b3162640f873,android,1393633674,34.207324,-80.306569,SC
